-16012,-18775,-10305,-13697,28689,-14255,18027,-29805,14629,2935,12077,16119,17131,14993,4445,19733,21801,21569,20995,17537,26149,12469,32767,-2465,15371,-14891,-13953,-8107,-28363,-20565,-21163,-25365,-6997,-26787,2571,-6123,11449,-9323,13279,-13269,32767,33,26661,1941,10817,-879,2561,4719,-11011,-28929,-11667,-20481,26697,-8149,-16019,-19845,-21029,-27141,-17883,-9909,-22035,-22315,28869,-27795
-5462,-16559,-12595,-6827,22711,-6993,6283,-25349,9387,605,209,14167,5099,14075,-7095,14629,25985,20275,19529,19797,17025,16235,31377,-1621,17883,-14895,-14213,-8483,-24613,-10283,-21505,-16533,-3401,-25365,6037,-3925,14961,-6163,18989,-10565,32767,2853,32767,5213,15323,1877,1783,7131,-5257,-24225,-5909,-16995,32767,-3053,-11307,-16145,-17375,-21761,-12033,-2507,-19403,-20261,18613,-23727
5450,-9429,-13093,2525,13605,3147,-5651,-21079,-1031,-1967,-11309,10667,-7181,10597,-18667,9525,27285,16827,16901,19435,13521,18147,27797,-525,18371,-13093,-12869,-7891,-22017,489,-20741,-9579,529,-23829,9085,-1531,17061,-2219,22419,-6955,29893,5419,25349,8107,18049,4625,1061,8741,981,-19713,747,-12309,32767,2475,-5307,-10503,-12177,-14635,-7653,5651,-14499,-14889,8337,-21411
16404,629,-11659,12765,3221,14229,-17537,-14765,-12951,-3803,-17303,6249,-19413,3713,-28993,1061,25105,11073,11755,17269,8631,17703,22741,661,16971,-9879,-10003,-6381,-16617,11413,-17803,-2347,4331,-20069,10997,977,17155,2113,23201,-2655,25321,7227,17711,9929,18661,6683,53,9109,7019,-12449,7531,-6125,28581,7633,1493,-2389,-4539,-4885,-181,13963,-5893,-5525,1297,-15659
27322,11645,-8001,23307,-7317,25573,-28681,-5463,-25531,-4757,-25439,523,-29921,-5413,-23907,-9065,20827,4445,4425,14571,731,15531,15651,2007,14383,-5175,-5749,-3933,-8475,22305,-13097,6507,7531,-14691,12011,3275,16037,6165,21665,1827,18603,8311,15095,11081,17463,8123,-585,8937,12399,-3305,13701,843,26057,12325,8705,6857,4229,6007,9047,21761,4133,5483,-1535,-7221
32766,22971,-3093,32767,-17257,32767,-26409,5157,-29589,-5363,-25179,-6235,-24587,-16161,-25413,-19947,13953,-2941,-5207,10069,-9303,11159,5777,3263,9801,1093,-165,-619,1419,32767,-6581,16235,10065,-6859,11977,5347,13531,10069,17493,6401,9929,8613,8937,11209,14015,8833,-1029,7669,16375,7083,18731,8209,20259,15883,15653,17269,14005,17557,19375,28043,14753,17235,-7817,2307
32766,32767,2369,32767,-24545,32767,-16491,16119,-19771,-5545,-16475,-12805,-17025,-27667,-22327,-30793,5025,-10817,-15797,3445,-20243,4841,-5799,3571,3179,7077,5481,2793,11923,32767,1771,26389,10923,2857,9769,6293,8645,12433,10283,9557,-673,7297,-577,9137,7915,7689,-2351,4609,16929,17985,20171,13771,10667,15659,19319,27849,23595,28341,30021,26059,25515,28971,-17237,12151
32766,32767,8375,32767,-27309,32767,-9617,27221,-13385,-4821,-13697,-18499,-14537,-31301,-14473,-31595,-4681,-17619,-26219,-4573,-31017,-2729,-18083,3497,-4929,12855,11013,6305,22609,32767,10603,32767,9815,13109,5899,6181,2057,13231,1347,10761,-12183,4779,-11563,5717,425,5409,-3605,581,15641,28587,18945,17605,-533,13483,21397,32767,31873,30931,32767,21339,32767,31393,-27477,22177
25920,31265,14019,26067,-21891,24149,-7525,32767,-11381,-2711,-11371,-20181,-11753,-31361,-5889,-31457,-14679,-21869,-23849,-13089,-31659,-10615,-30421,3489,-12929,18027,16073,9353,32767,30629,19477,32767,7829,23637,1517,5493,-5443,13321,-8493,11283,-24157,1751,-23267,1979,-7387,2965,-3285,-3147,13109,32767,15829,20181,-12307,10357,21443,32767,32767,26705,27553,16147,31129,26475,-25451,32033
20436,20715,17553,22547,-16295,22673,-3233,28881,-7627,-119,-8047,-18477,-7917,-27137,4983,-28179,-22113,-21705,-17765,-19051,-31659,-16401,-30747,3093,-17729,20385,18661,10863,32767,21797,27233,32767,4661,31645,-2539,3755,-11275,11477,-16873,9819,-29395,-1413,-31937,-1701,-13083,223,-1833,-5679,8483,26059,10469,18065,-24395,5673,17921,28709,32065,23337,19627,9493,26645,23681,-16617,32767
16746,9595,17989,17691,-8893,17459,5137,18129,1573,2387,1573,-14063,617,-16193,16705,-19349,-23441,-18539,-15237,-20275,-27925,-18901,-27305,2469,-19435,20203,18725,10987,25685,17921,29521,25685,741,28119,-5585,1283,-14299,8235,-20937,6721,-19759,-4021,-31947,-4529,-15771,-2213,223,-7467,2725,20867,4073,13871,-27945,513,12451,23617,26035,17847,16491,1919,23765,20565,-10825,27849
8192,-2003,15467,7867,1115,7633,15861,8401,13061,4533,13495,-7419,11339,-4347,28545,-8631,-20181,-12269,-8379,-17297,-17537,-18049,-20545,1425,-17233,16677,15617,9195,15291,11371,26965,17673,-3339,23253,-7211,-1705,-14593,3729,-21227,2121,-11573,-5717,-31305,-6091,-15637,-3893,2635,-7825,-4225,13669,-3369,7697,-18349,-4969,4527,15741,18277,8981,10101,-6741,15797,12169,-6651,16805
-1728,-13747,10093,-3659,12139,-3987,27077,-2415,25221,5125,25729,-373,22657,7723,32767,2705,-14661,-4139,1449,-12693,-6039,-15029,-11411,-363,-13227,10413,9857,5717,4433,2283,20053,9141,-6957,16235,-7673,-4523,-12197,-1749,-18315,-3629,-6741,-6787,-24817,-7109,-13483,-5387,3779,-7425,-11019,3989,-10987,-277,-13707,-10241,-4629,5561,8505,-1499,1141,-15953,5933,1833,2377,5137
-11974,-25259,4439,-15687,23445,-16099,32767,-14213,32767,5871,32767,6547,32767,19905,32767,14189,-8747,3531,12171,-8075,5739,-11469,-1189,-2837,-8981,2121,2199,1285,-6699,-7659,10733,-939,-10913,6309,-9119,-7445,-10375,-8009,-15313,-10341,-201,-8017,-15659,-9121,-11729,-7773,1563,-8101,-17713,-6839,-17989,-10241,-11461,-15817,-14427,-5909,-2421,-12821,-8795,-25601,-4619,-9175,12613,-6945
-22230,-31435,-401,-27615,32767,-28099,32767,-26305,28051,6315,32767,12373,32767,31925,32767,25797,-1717,10221,23351,-2133,17645,-6347,9623,-4207,-2839,-6033,-5643,-2885,-17995,-17867,203,-11537,-13511,-4965,-9121,-9309,-7085,-12501,-10441,-15331,8633,-7931,-5557,-9025,-8147,-8437,5,-6779,-21131,-18219,-21061,-19989,-4373,-18005,-20739,-17835,-13803,-24469,-19115,-28177,-15381,-20385,23057,-19179
-30676,-24967,-4331,-28847,32767,-27265,32767,-29057,17915,5869,32767,15477,32767,30881,24683,32767,6797,16589,28909,5381,29539,443,20875,-3923,5013,-11253,-10891,-5705,-29155,-27923,-10705,-22273,-12969,-16619,-5995,-9255,-1047,-13377,-2779,-16421,19339,-5763,5595,-5739,-2037,-6453,1071,-2733,-19733,-29697,-19691,-24389,5697,-15681,-21125,-29613,-25173,-31873,-29157,-21061,-25823,-29163,32767,-30913
-23982,-19637,-7851,-19823,31297,-18477,27421,-29505,16351,4417,22111,16385,26729,20655,13667,27557,15803,20779,23433,13125,32767,7637,32235,-3029,11875,-13707,-12821,-7259,-31425,-27985,-19701,-30411,-9859,-25781,-905,-7669,6485,-11445,6345,-14889,30827,-2427,17207,-1115,5359,-3209,2651,2049,-15305,-31685,-15685,-22913,17045,-11715,-18859,-26453,-26967,-31107,-25475,-14913,-25889,-24977,32767,-31497
